date_to,co,o3,no2,pm10,pm2.5,benzen
2025-03-25 15:00,0.2,77.0,13.0,8,4,0.3
2025-03-25 16:00,0.2,82.0,12.0,9,4,0.4
2025-03-25 17:00,0.2,83.0,,8,3,0.3
2025-03-25 18:00,0.2,,24.0,5,3,0.4
2025-03-25 19:00,0.2,53.0,29.0,9,6,0.6
2025-03-25 20:00,0.2,48.0,29.0,9,7,0.8
2025-03-25 21:00,,57.0,20.0,7,6,
2025-03-25 22:00,0.3,52.0,22.0,9,7,
2025-03-25 23:00,0.3,48.0,21.0,10,9,0.8
2025-03-26 00:00,0.3,31.0,31.0,13,11,0.9
2025-03-26 01:00,0.3,38.0,17.0,16,14,0.9
2025-03-26 02:00,0.3,45.0,11.0,16,14,0.9
2025-03-26 03:00,0.2,42.0,8.0,12,11,0.6
2025-03-26 04:00,0.3,32.0,11.0,14,12,0.7
2025-03-26 05:00,0.2,32.0,11.0,15,13,0.6
2025-03-26 06:00,0.2,28.0,21.0,14,12,0.5
2025-03-26 07:00,0.2,20.0,28.0,11,9,0.5
2025-03-26 08:00,0.3,18.0,33.0,13,10,0.7
2025-03-26 09:00,0.3,17.0,34.0,17,15,0.8
2025-03-26 10:00,0.3,28.0,24.0,15,13,0.6
2025-03-26 11:00,0.2,33.0,21.0,16,14,0.6
2025-03-26 12:00,0.2,54.0,15.0,18,10,0.4
2025-03-26 13:00,0.2,69.0,10.0,10,6,0.4
2025-03-26 14:00,0.2,71.0,14.0,9,6,0.3
2025-03-26 15:00,0.2,81.0,8.0,11,6,0.3
2025-03-26 16:00,0.2,80.0,9.0,9,6,0.3
2025-03-26 17:00,0.2,79.0,11.0,9,6,0.3
2025-03-26 18:00,0.2,,,9,5,0.4
2025-03-26 19:00,0.2,62.0,22.0,10,6,0.5
2025-03-26 20:00,0.2,77.0,13.0,7,5,0.4
2025-03-26 21:00,,79.0,13.0,6,4,0.3
2025-03-26 22:00,0.2,79.0,12.0,7,5,
2025-03-26 23:00,0.2,77.0,12.0,7,5,
2025-03-27 00:00,0.2,82.0,7.0,9,7,0.3
2025-03-27 01:00,0.2,81.0,7.0,10,8,0.2
2025-03-27 02:00,0.2,84.0,4.0,7,6,0.2
2025-03-27 03:00,0.2,87.0,4.0,8,7,0.2
2025-03-27 04:00,0.2,86.0,4.0,9,7,0.2
2025-03-27 05:00,0.2,81.0,6.0,8,7,0.2
2025-03-27 06:00,0.2,73.0,12.0,9,7,0.2
2025-03-27 07:00,0.3,39.0,44.0,12,7,0.5
2025-03-27 08:00,0.3,33.0,48.0,18,9,0.5
2025-03-27 09:00,0.2,66.0,21.0,12,7,0.3
2025-03-27 10:00,0.2,85.0,8.0,9,5,0.2
2025-03-27 11:00,0.2,91.0,6.0,12,6,0.3
2025-03-27 12:00,0.2,87.0,7.0,11,6,0.3
2025-03-27 13:00,0.2,86.0,8.0,10,6,0.3
2025-03-27 14:00,0.2,86.0,10.0,10,6,0.3
2025-03-27 15:00,0.2,94.0,10.0,12,7,0.3
2025-03-27 16:00,0.2,98.0,9.0,12,8,0.4
2025-03-27 17:00,0.2,99.0,9.0,12,8,0.3
2025-03-27 18:00,0.2,98.0,,11,8,0.4
2025-03-27 19:00,0.2,,10.0,12,10,0.4
2025-03-27 20:00,0.2,82.0,16.0,13,10,0.5
2025-03-27 21:00,0.2,79.0,14.0,15,12,0.6
2025-03-27 22:00,,81.0,11.0,11,8,
2025-03-27 23:00,0.2,81.0,8.0,8,6,
2025-03-28 00:00,0.2,83.0,5.0,8,6,0.3
2025-03-28 01:00,0.2,86.0,4.0,8,6,0.2
2025-03-28 02:00,0.2,87.0,3.0,8,6,0.2
2025-03-28 03:00,0.2,86.0,4.0,7,6,0.2
2025-03-28 04:00,0.2,85.0,3.0,8,7,0.2
2025-03-28 05:00,0.2,86.0,5.0,9,7,0.2
2025-03-28 06:00,0.2,78.0,11.0,9,7,0.3
2025-03-28 07:00,0.2,56.0,27.0,10,7,0.3
2025-03-28 08:00,0.2,47.0,36.0,13,8,0.4
2025-03-28 09:00,0.2,52.0,32.0,17,10,0.5
2025-03-28 10:00,0.2,67.0,16.0,13,11,0.5
2025-03-28 11:00,0.2,64.0,16.0,13,11,0.5
2025-03-28 12:00,0.2,69.0,13.0,8,7,0.5
2025-03-28 13:00,0.2,69.0,14.0,7,6,0.5
2025-03-28 14:00,0.2,72.0,11.0,7,6,0.5
2025-03-28 15:00,0.2,70.0,11.0,7,6,0.5
2025-03-28 16:00,0.2,67.0,12.0,7,6,0.5
2025-03-28 17:00,0.2,64.0,14.0,6,5,0.6
2025-03-28 18:00,0.2,60.0,17.0,7,7,0.6
2025-03-28 19:00,0.2,,,6,6,0.6
2025-03-28 20:00,0.3,45.0,25.0,7,6,0.8
2025-03-28 21:00,0.3,29.0,37.0,8,7,0.9
2025-03-28 22:00,,31.0,32.0,11,10,0.8
2025-03-28 23:00,0.3,36.0,23.0,9,8,
2025-03-29 00:00,0.3,35.0,22.0,9,8,
2025-03-29 01:00,0.3,34.0,17.0,10,9,0.8
2025-03-29 02:00,0.3,28.0,21.0,11,10,0.8
2025-03-29 03:00,0.3,31.0,14.0,10,9,0.8
2025-03-29 04:00,0.3,29.0,13.0,10,8,0.8
2025-03-29 05:00,0.3,23.0,15.0,12,10,0.8
2025-03-29 06:00,0.3,17.0,19.0,15,13,0.9
2025-03-29 07:00,0.3,17.0,20.0,15,13,0.8
2025-03-29 08:00,0.3,17.0,22.0,12,10,0.8
2025-03-29 09:00,0.3,25.0,18.0,9,7,0.7
2025-03-29 10:00,0.2,36.0,14.0,8,7,0.8
2025-03-29 11:00,0.3,36.0,16.0,7,6,0.8
2025-03-29 12:00,0.2,45.0,12.0,6,5,0.8
2025-03-29 13:00,0.2,57.0,10.0,5,3,0.7
2025-03-29 14:00,0.2,67.0,9.0,3,2,0.7
2025-03-29 15:00,0.2,61.0,11.0,2,2,0.6
2025-03-29 16:00,0.2,56.0,14.0,3,2,0.7
2025-03-29 17:00,0.2,58.0,13.0,3,2,0.6
2025-03-29 18:00,0.2,50.0,17.0,4,3,0.8
2025-03-29 19:00,0.3,36.0,,6,4,1.0
2025-03-29 20:00,0.3,,38.0,7,5,1.2
2025-03-29 21:00,0.4,7.0,53.0,10,8,1.5
2025-03-29 22:00,0.4,19.0,31.0,13,11,1.3
2025-03-29 23:00,,39.0,17.0,7,5,
2025-03-30 00:00,,40.0,16.0,6,5,
2025-03-30 01:00,,32.0,22.0,4,3,0.7
2025-03-30 03:00,,5.0,31.0,13,10,1.5
2025-03-30 04:00,,2.0,30.0,18,14,1.6
2025-03-30 05:00,,4.0,26.0,15,12,1.4
2025-03-30 06:00,,5.0,23.0,15,12,1.1
2025-03-30 07:00,,7.0,21.0,13,10,1.0
2025-03-30 08:00,,8.0,21.0,13,10,1.1
2025-03-30 09:00,,8.0,21.0,15,12,1.2
2025-03-30 10:00,,15.0,23.0,11,9,0.9
2025-03-30 11:00,,31.0,17.0,6,5,0.8
