date_to,no2,pm10,pm2.5
2025-03-25 15:00,42.0,15.0,6.0
2025-03-25 16:00,57.0,13.0,5.0
2025-03-25 17:00,47.0,11.0,4.0
2025-03-25 18:00,77.0,7.0,4.0
2025-03-25 19:00,,8.0,5.0
2025-03-25 20:00,64.0,8.0,6.0
2025-03-25 21:00,56.0,8.0,6.0
2025-03-25 22:00,44.0,10.0,7.0
2025-03-25 23:00,36.0,10.0,8.0
2025-03-26 00:00,23.0,12.0,11.0
2025-03-26 01:00,26.0,12.0,10.0
2025-03-26 02:00,13.0,11.0,9.0
2025-03-26 03:00,9.0,10.0,8.0
2025-03-26 04:00,22.0,14.0,12.0
2025-03-26 05:00,26.0,16.0,14.0
2025-03-26 06:00,33.0,17.0,15.0
2025-03-26 07:00,41.0,12.0,10.0
2025-03-26 08:00,47.0,14.0,11.0
2025-03-26 09:00,44.0,14.0,12.0
2025-03-26 10:00,37.0,10.0,8.0
2025-03-26 11:00,33.0,13.0,10.0
2025-03-26 12:00,25.0,13.0,9.0
2025-03-26 13:00,22.0,10.0,5.0
2025-03-26 14:00,32.0,8.0,5.0
2025-03-26 15:00,25.0,10.0,5.0
2025-03-26 16:00,31.0,,
2025-03-26 17:00,27.0,,
2025-03-26 18:00,37.0,,
2025-03-26 19:00,,,
2025-03-26 20:00,25.0,,
2025-03-26 21:00,19.0,,
2025-03-26 22:00,22.0,,
2025-03-26 23:00,31.0,,
2025-03-27 00:00,23.0,,
2025-03-27 01:00,24.0,,
2025-03-27 02:00,6.0,,
2025-03-27 03:00,6.0,,
2025-03-27 04:00,7.0,,
2025-03-27 05:00,49.0,,
2025-03-27 06:00,50.0,,
2025-03-27 07:00,60.0,,
2025-03-27 08:00,66.0,,
2025-03-27 09:00,42.0,,
2025-03-27 10:00,15.0,,
2025-03-27 11:00,15.0,,
2025-03-27 12:00,13.0,,
2025-03-27 13:00,14.0,,
2025-03-27 14:00,21.0,,
2025-03-27 15:00,17.0,,
2025-03-27 16:00,21.0,,
2025-03-27 17:00,18.0,,
2025-03-27 18:00,21.0,,
2025-03-27 19:00,20.0,,
2025-03-27 20:00,,,
2025-03-27 21:00,16.0,,
2025-03-27 22:00,13.0,,
2025-03-27 23:00,15.0,,
2025-03-28 00:00,12.0,,
2025-03-28 01:00,6.0,,
2025-03-28 02:00,6.0,,
2025-03-28 03:00,5.0,,
2025-03-28 04:00,6.0,,
2025-03-28 05:00,10.0,,
2025-03-28 06:00,20.0,,
2025-03-28 07:00,45.0,,
2025-03-28 08:00,51.0,,
2025-03-28 09:00,55.0,,
2025-03-28 10:00,25.0,,
2025-03-28 11:00,39.0,,
2025-03-28 12:00,32.0,,
2025-03-28 13:00,35.0,,
2025-03-28 14:00,30.0,,
2025-03-28 15:00,31.0,,
2025-03-28 16:00,45.0,,
2025-03-28 17:00,37.0,,
2025-03-28 18:00,44.0,,
2025-03-28 19:00,41.0,,
2025-03-28 20:00,,,
2025-03-28 21:00,37.0,,
2025-03-28 22:00,29.0,,
2025-03-28 23:00,22.0,,
2025-03-29 00:00,23.0,,
2025-03-29 01:00,20.0,,
2025-03-29 02:00,22.0,,
2025-03-29 03:00,21.0,,
2025-03-29 04:00,21.0,,
2025-03-29 05:00,24.0,,
2025-03-29 06:00,27.0,,
2025-03-29 07:00,32.0,,
2025-03-29 08:00,29.0,,
2025-03-29 09:00,33.0,,
2025-03-29 10:00,26.0,,
2025-03-29 11:00,22.0,,
2025-03-29 12:00,28.0,,
2025-03-29 13:00,20.0,,
2025-03-29 14:00,21.0,,
2025-03-29 15:00,23.0,,
2025-03-29 16:00,19.0,,
2025-03-29 17:00,19.0,,
2025-03-29 18:00,26.0,,
2025-03-29 19:00,29.0,6.0,4.0
2025-03-29 20:00,33.0,10.0,8.0
2025-03-29 21:00,,11.0,9.0
2025-03-29 22:00,42.0,7.0,5.0
2025-03-29 23:00,36.0,7.0,5.0
2025-03-30 00:00,38.0,5.0,4.0
2025-03-30 01:00,30.0,4.0,3.0
2025-03-30 03:00,24.0,4.0,3.0
2025-03-30 04:00,20.0,7.0,5.0
2025-03-30 05:00,22.0,7.0,4.0
2025-03-30 06:00,25.0,8.0,5.0
2025-03-30 07:00,31.0,9.0,6.0
2025-03-30 08:00,31.0,11.0,8.0
2025-03-30 09:00,28.0,11.0,9.0
2025-03-30 10:00,34.0,13.0,10.0
2025-03-30 11:00,28.0,7.0,6.0
2025-03-30 12:00,23.0,7.0,5.0
2025-03-30 13:00,23.0,7.0,5.0
2025-03-30 14:00,16.0,4.0,2.0
2025-03-30 15:00,11.0,4.0,2.0
2025-03-30 16:00,15.0,4.0,2.0
2025-03-30 17:00,19.0,4.0,2.0
2025-03-30 18:00,16.0,4.0,2.0
2025-03-30 19:00,29.0,6.0,2.0
2025-03-30 20:00,38.0,10.0,4.0
2025-03-30 21:00,32.0,8.0,3.0
2025-03-30 22:00,,9.0,4.0
