date_to,o3,no2,pm10,pm2.5
2025-03-25 15:00,,9.0,14,11
2025-03-25 16:00,,5.0,14,11
2025-03-25 17:00,,,9,7
2025-03-25 18:00,,5.0,7,6
2025-03-25 19:00,,6.0,10,8
2025-03-25 20:00,,12.0,6,5
2025-03-25 21:00,,11.0,8,7
2025-03-25 22:00,,7.0,12,11
2025-03-25 23:00,,5.0,11,10
2025-03-26 00:00,,5.0,13,11
2025-03-26 01:00,,8.0,13,10
2025-03-26 02:00,,7.0,13,11
2025-03-26 03:00,,6.0,13,11
2025-03-26 04:00,,8.0,9,8
2025-03-26 05:00,,8.0,10,9
2025-03-26 06:00,,17.0,12,11
2025-03-26 07:00,,12.0,12,10
2025-03-26 08:00,,22.0,12,10
2025-03-26 09:00,,9.0,11,9
2025-03-26 10:00,,19.0,12,10
2025-03-26 11:00,,13.0,15,12
2025-03-26 12:00,,9.0,13,12
2025-03-26 13:00,,4.0,12,11
2025-03-26 14:00,,4.0,11,10
2025-03-26 15:00,,3.0,14,12
2025-03-26 16:00,,3.0,17,15
2025-03-26 17:00,,4.0,13,11
2025-03-26 18:00,,,9,7
2025-03-26 19:00,,4.0,10,9
2025-03-26 20:00,,4.0,10,9
2025-03-26 21:00,,5.0,12,10
2025-03-26 22:00,,5.0,13,11
2025-03-26 23:00,,4.0,14,12
2025-03-27 00:00,,4.0,21,19
2025-03-27 01:00,,4.0,25,23
2025-03-27 02:00,,4.0,25,23
2025-03-27 03:00,,4.0,25,23
2025-03-27 04:00,,4.0,21,20
2025-03-27 05:00,,3.0,16,14
2025-03-27 06:00,,4.0,15,13
2025-03-27 07:00,,3.0,15,14
2025-03-27 08:00,,4.0,16,14
2025-03-27 09:00,,4.0,17,16
2025-03-27 10:00,,4.0,24,20
2025-03-27 11:00,,4.0,21,18
2025-03-27 12:00,,4.0,20,17
2025-03-27 13:00,,4.0,18,16
2025-03-27 14:00,,4.0,17,15
2025-03-27 15:00,,4.0,16,13
2025-03-27 16:00,,4.0,13,11
2025-03-27 17:00,,5.0,12,9
2025-03-27 18:00,,,11,9
2025-03-27 19:00,,5.0,10,8
2025-03-27 20:00,,5.0,10,8
2025-03-27 21:00,,4.0,9,7
2025-03-27 22:00,,4.0,8,6
2025-03-27 23:00,,4.0,8,6
2025-03-28 00:00,,4.0,10,7
2025-03-28 01:00,,4.0,11,8
2025-03-28 02:00,,4.0,11,9
2025-03-28 03:00,,4.0,13,11
2025-03-28 04:00,,4.0,15,12
2025-03-28 05:00,,4.0,15,12
2025-03-28 06:00,,4.0,15,13
2025-03-28 07:00,,5.0,17,15
2025-03-28 08:00,,5.0,21,18
2025-03-28 09:00,,5.0,20,19
2025-03-28 10:00,,5.0,20,19
2025-03-28 11:00,,6.0,21,19
2025-03-28 12:00,,9.0,22,20
2025-03-28 13:00,,6.0,22,20
2025-03-28 14:00,,6.0,21,20
2025-03-28 15:00,,6.0,21,20
2025-03-28 16:00,,6.0,21,19
2025-03-28 17:00,,6.0,21,19
2025-03-28 18:00,,6.0,20,19
2025-03-28 19:00,,,21,19
2025-03-28 20:00,,7.0,20,19
2025-03-28 21:00,,6.0,20,19
2025-03-28 22:00,,5.0,19,18
2025-03-28 23:00,,5.0,15,14
2025-03-29 00:00,,5.0,17,16
2025-03-29 01:00,,5.0,17,16
2025-03-29 02:00,,5.0,15,14
2025-03-29 03:00,,5.0,16,15
2025-03-29 04:00,,4.0,18,16
2025-03-29 05:00,,4.0,15,14
2025-03-29 06:00,,4.0,16,15
2025-03-29 07:00,,4.0,12,11
2025-03-29 08:00,,4.0,8,7
2025-03-29 09:00,,3.0,6,5
2025-03-29 10:00,,3.0,5,5
2025-03-29 11:00,,3.0,5,4
2025-03-29 12:00,,3.0,4,3
2025-03-29 13:00,,3.0,2,2
2025-03-29 14:00,,3.0,2,2
2025-03-29 15:00,,6.0,3,2
2025-03-29 16:00,,5.0,3,2
2025-03-29 17:00,,4.0,3,2
2025-03-29 18:00,,7.0,4,3
2025-03-29 19:00,,,4,2
2025-03-29 20:00,,5.0,2,2
2025-03-29 21:00,,6.0,4,2
2025-03-29 22:00,,6.0,3,2
2025-03-29 23:00,,6.0,4,3
2025-03-30 00:00,,6.0,4,3
2025-03-30 01:00,,5.0,3,2
2025-03-30 03:00,,6.0,3,2
2025-03-30 04:00,,6.0,4,2
2025-03-30 05:00,,7.0,5,3
2025-03-30 06:00,,10.0,6,4
2025-03-30 07:00,,11.0,5,4
2025-03-30 08:00,,9.0,5,3
2025-03-30 09:00,,11.0,6,4
2025-03-30 10:00,,10.0,6,4
2025-03-30 11:00,,11.0,5,3
