date_to,so2,o3,no2,pm10,pm2.5,benzen
2025-03-25 15:00,,96.0,,6,4,
2025-03-25 16:00,,93.0,,4,3,
2025-03-25 17:00,,93.0,,4,3,
2025-03-25 18:00,,72.0,2.0,5,2,
2025-03-25 19:00,,60.0,3.0,5,2,
2025-03-25 20:00,,,3.0,6,3,
2025-03-25 21:00,,17.0,3.0,7,3,
2025-03-25 22:00,,11.0,3.0,7,3,
2025-03-25 23:00,,10.0,3.0,8,3,
2025-03-26 00:00,,7.0,3.0,8,4,
2025-03-26 01:00,,4.0,3.0,8,4,
2025-03-26 02:00,,2.0,3.0,7,4,
2025-03-26 03:00,,1.0,4.0,8,4,
2025-03-26 04:00,,2.0,4.0,6,3,
2025-03-26 05:00,,3.0,4.0,4,2,
2025-03-26 06:00,,2.0,3.0,4,2,
2025-03-26 07:00,,3.0,3.0,4,2,
2025-03-26 08:00,,11.0,3.0,4,2,
2025-03-26 09:00,,29.0,1.0,3,2,
2025-03-26 10:00,,52.0,2.0,10,3,
2025-03-26 11:00,,76.0,3.0,10,4,
2025-03-26 12:00,,80.0,1.0,6,4,
2025-03-26 13:00,,80.0,2.0,5,4,
2025-03-26 14:00,,84.0,3.0,5,4,
2025-03-26 15:00,,89.0,3.0,7,6,
2025-03-26 16:00,,92.0,3.0,9,8,
2025-03-26 17:00,,95.0,3.0,7,6,
2025-03-26 18:00,,91.0,,8,6,
2025-03-26 19:00,,87.0,,12,10,
2025-03-26 20:00,,82.0,,11,9,
2025-03-26 21:00,,,,9,8,
2025-03-26 22:00,,86.0,,10,9,
2025-03-26 23:00,,82.0,,10,9,
2025-03-27 00:00,,86.0,,12,11,
2025-03-27 01:00,,89.0,,13,11,
2025-03-27 02:00,,87.0,,13,12,
2025-03-27 03:00,,86.0,,17,15,
2025-03-27 04:00,,86.0,,21,19,
2025-03-27 05:00,,86.0,,22,20,
2025-03-27 06:00,,87.0,,22,19,
2025-03-27 07:00,,86.0,,18,16,
2025-03-27 08:00,,84.0,,16,14,
2025-03-27 09:00,,84.0,,15,13,
2025-03-27 10:00,,84.0,,14,12,
2025-03-27 11:00,,87.0,,13,11,
2025-03-27 12:00,,85.0,,14,12,
2025-03-27 13:00,,86.0,,17,14,
2025-03-27 14:00,,89.0,,18,16,
2025-03-27 15:00,,88.0,,19,17,
2025-03-27 16:00,,89.0,,18,16,
2025-03-27 17:00,,89.0,,18,16,
2025-03-27 18:00,,87.0,,17,15,
2025-03-27 19:00,,87.0,,16,14,
2025-03-27 20:00,,87.0,,16,14,
2025-03-27 21:00,,,,14,12,
2025-03-27 22:00,,81.0,,12,11,
2025-03-27 23:00,,80.0,,11,10,
2025-03-28 00:00,,82.0,,10,9,
2025-03-28 01:00,,82.0,,10,9,
2025-03-28 02:00,,85.0,,10,9,
2025-03-28 03:00,,88.0,,10,9,
2025-03-28 04:00,,87.0,,11,10,
2025-03-28 05:00,,86.0,,12,11,
2025-03-28 06:00,,82.0,,12,11,
2025-03-28 07:00,,80.0,,12,11,
2025-03-28 08:00,,79.0,,8,8,
2025-03-28 09:00,,79.0,,9,8,
2025-03-28 10:00,,79.0,,8,7,
2025-03-28 11:00,,78.0,,4,4,
2025-03-28 12:00,,76.0,,2,2,
2025-03-28 13:00,,76.0,,2,2,
2025-03-28 14:00,,77.0,,2,2,
2025-03-28 15:00,,77.0,,3,3,
2025-03-28 16:00,,77.0,,3,3,
2025-03-28 17:00,,75.0,,2,2,
2025-03-28 18:00,,73.0,,2,2,
2025-03-28 19:00,,70.0,,2,2,
2025-03-28 20:00,,69.0,,2,2,
2025-03-28 21:00,,68.0,,2,2,
2025-03-28 22:00,,,,2,2,
2025-03-28 23:00,,65.0,,2,2,
2025-03-29 00:00,,60.0,,2,2,
2025-03-29 01:00,,63.0,,2,2,
2025-03-29 02:00,,61.0,,2,2,
2025-03-29 03:00,,59.0,,2,2,
2025-03-29 04:00,,61.0,,2,2,
2025-03-29 05:00,,59.0,,2,2,
2025-03-29 06:00,,54.0,,2,2,
2025-03-29 07:00,,51.0,,3,2,
2025-03-29 08:00,,50.0,,2,2,
2025-03-29 09:00,,58.0,,2,2,
2025-03-29 10:00,,60.0,,2,2,
2025-03-29 11:00,,64.0,,2,2,
2025-03-29 12:00,,83.0,,2,2,
2025-03-29 13:00,,84.0,,2,2,
2025-03-29 14:00,,82.0,,2,2,
2025-03-29 15:00,,83.0,,2,2,
2025-03-29 16:00,,84.0,,2,2,
2025-03-29 17:00,,81.0,,2,2,
2025-03-29 18:00,,77.0,,2,2,
2025-03-29 19:00,,71.0,,2,2,
2025-03-29 20:00,,69.0,3.0,2,2,
2025-03-29 21:00,,68.0,4.0,2,2,
